window,client,budget,precision,recall
1,0,10,0.0,0.0
1,0,25,0.0,0.0
1,0,50,0.0,0.0
1,0,100,0.0,0.0
1,0,200,0.0,0.0
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.0,0.0
1,1,100,0.0,0.0
1,1,200,0.0,0.0
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.0,0.0
1,3,25,0.0,0.0
1,3,50,0.0,0.0
1,3,100,0.0,0.0
1,3,200,0.0,0.0
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.0,0.0
2,0,10,0.0,0.0
2,0,25,0.0,0.0
2,0,50,0.0,0.0
2,0,100,0.0,0.0
2,0,200,0.0,0.0
2,1,10,0.1,0.012658227848101266
2,1,25,0.04,0.012658227848101266
2,1,50,0.02,0.012658227848101266
2,1,100,0.01,0.012658227848101266
2,1,200,0.005,0.012658227848101266
2,2,10,0.0,0.0
2,2,25,0.0,0.0
2,2,50,0.0,0.0
2,2,100,0.01,0.013333333333333334
2,2,200,0.015,0.04
2,3,10,0.0,0.0
2,3,25,0.0,0.0
2,3,50,0.0,0.0
2,3,100,0.02,0.023809523809523808
2,3,200,0.01,0.023809523809523808
2,4,10,0.0,0.0
2,4,25,0.0,0.0
2,4,50,0.0,0.0
2,4,100,0.0,0.0
2,4,200,0.0,0.0
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.0,0.0
3,0,100,0.01,0.012345679012345678
3,0,200,0.005,0.012345679012345678
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.02,0.012987012987012988
3,1,100,0.01,0.012987012987012988
3,1,200,0.005,0.012987012987012988
3,2,10,0.2,0.03076923076923077
3,2,25,0.08,0.03076923076923077
3,2,50,0.04,0.03076923076923077
3,2,100,0.02,0.03076923076923077
3,2,200,0.02,0.06153846153846154
3,3,10,0.0,0.0
3,3,25,0.0,0.0
3,3,50,0.0,0.0
3,3,100,0.0,0.0
3,3,200,0.0,0.0
3,4,10,0.0,0.0
3,4,25,0.0,0.0
3,4,50,0.0,0.0
3,4,100,0.0,0.0
3,4,200,0.0,0.0
4,0,10,0.0,0.0
4,0,25,0.0,0.0
4,0,50,0.0,0.0
4,0,100,0.0,0.0
4,0,200,0.0,0.0
4,1,10,0.0,0.0
4,1,25,0.04,0.013888888888888888
4,1,50,0.02,0.013888888888888888
4,1,100,0.01,0.013888888888888888
4,1,200,0.01,0.027777777777777776
4,2,10,0.0,0.0
4,2,25,0.0,0.0
4,2,50,0.0,0.0
4,2,100,0.01,0.01282051282051282
4,2,200,0.005,0.01282051282051282
4,3,10,0.0,0.0
4,3,25,0.0,0.0
4,3,50,0.02,0.009259259259259259
4,3,100,0.01,0.009259259259259259
4,3,200,0.005,0.009259259259259259
4,4,10,0.0,0.0
4,4,25,0.0,0.0
4,4,50,0.0,0.0
4,4,100,0.0,0.0
4,4,200,0.0,0.0
5,0,10,0.1,0.011764705882352941
5,0,25,0.04,0.011764705882352941
5,0,50,0.02,0.011764705882352941
5,0,100,0.02,0.023529411764705882
5,0,200,0.025,0.058823529411764705
5,1,10,0.0,0.0
5,1,25,0.04,0.012048192771084338
5,1,50,0.02,0.012048192771084338
5,1,100,0.02,0.024096385542168676
5,1,200,0.02,0.04819277108433735
5,2,10,0.0,0.0
5,2,25,0.04,0.009345794392523364
5,2,50,0.04,0.018691588785046728
5,2,100,0.02,0.018691588785046728
5,2,200,0.03,0.056074766355140186
