window,client,budget,precision,recall
1,0,10,0.0,0.0
1,0,25,0.0,0.0
1,0,50,0.0,0.0
1,0,100,0.0,0.0
1,0,200,0.0,0.0
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.0,0.0
1,1,100,0.0,0.0
1,1,200,0.0,0.0
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.0,0.0
1,3,25,0.0,0.0
1,3,50,0.0,0.0
1,3,100,0.0,0.0
1,3,200,0.0,0.0
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.015,0.030612244897959183
2,0,10,0.0,0.0
2,0,25,0.0,0.0
2,0,50,0.0,0.0
2,0,100,0.0,0.0
2,0,200,0.0,0.0
2,1,10,0.0,0.0
2,1,25,0.04,0.014285714285714285
2,1,50,0.04,0.02857142857142857
2,1,100,0.02,0.02857142857142857
2,1,200,0.015,0.04285714285714286
2,2,10,0.0,0.0
2,2,25,0.04,0.037037037037037035
2,2,50,0.04,0.07407407407407407
2,2,100,0.02,0.07407407407407407
2,2,200,0.015,0.1111111111111111
2,3,10,0.7,0.04929577464788732
2,3,25,0.72,0.1267605633802817
2,3,50,0.58,0.20422535211267606
2,3,100,0.4,0.28169014084507044
2,3,200,0.27,0.38028169014084506
2,4,10,0.4,0.04938271604938271
2,4,25,0.28,0.08641975308641975
2,4,50,0.24,0.14814814814814814
2,4,100,0.18,0.2222222222222222
2,4,200,0.11,0.2716049382716049
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.02,0.014492753623188406
3,0,100,0.01,0.014492753623188406
3,0,200,0.01,0.028985507246376812
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.0,0.0
3,1,100,0.02,0.02702702702702703
3,1,200,0.045,0.12162162162162163
3,2,10,0.1,0.02702702702702703
3,2,25,0.04,0.02702702702702703
3,2,50,0.06,0.08108108108108109
3,2,100,0.03,0.08108108108108109
3,2,200,0.02,0.10810810810810811
3,3,10,0.4,0.028985507246376812
3,3,25,0.4,0.07246376811594203
3,3,50,0.34,0.12318840579710146
3,3,100,0.32,0.2318840579710145
3,3,200,0.225,0.32608695652173914
3,4,10,0.2,0.02857142857142857
3,4,25,0.12,0.04285714285714286
3,4,50,0.06,0.04285714285714286
3,4,100,0.05,0.07142857142857142
3,4,200,0.055,0.15714285714285714
4,0,10,0.0,0.0
4,0,25,0.0,0.0
4,0,50,0.0,0.0
4,0,100,0.0,0.0
4,0,200,0.0,0.0
4,1,10,0.1,0.0136986301369863
4,1,25,0.04,0.0136986301369863
4,1,50,0.12,0.0821917808219178
4,1,100,0.06,0.0821917808219178
4,1,200,0.035,0.0958904109589041
4,2,10,0.1,0.01818181818181818
4,2,25,0.12,0.05454545454545454
4,2,50,0.06,0.05454545454545454
4,2,100,0.06,0.10909090909090909
4,2,200,0.06,0.21818181818181817
4,3,10,0.0,0.0
4,3,25,0.32,0.055944055944055944
4,3,50,0.3,0.1048951048951049
4,3,100,0.22,0.15384615384615385
4,3,200,0.165,0.23076923076923078
4,4,10,0.1,0.01098901098901099
4,4,25,0.08,0.02197802197802198
4,4,50,0.1,0.054945054945054944
4,4,100,0.11,0.12087912087912088
4,4,200,0.07,0.15384615384615385
5,0,10,0.1,0.010752688172043012
5,0,25,0.04,0.010752688172043012
5,0,50,0.02,0.010752688172043012
5,0,100,0.01,0.010752688172043012
5,0,200,0.01,0.021505376344086023
5,1,10,0.0,0.0
5,1,25,0.08,0.02857142857142857
